Date,Open,High,Low,Close,Adj Close,Volume
2021-11-26,0.751120,0.752980,0.749150,0.751080,0.751080,0
2021-11-29,0.749650,0.752430,0.748330,0.749570,0.749570,0
2021-11-30,0.750940,0.757220,0.747980,0.751030,0.751030,0
2021-12-01,0.752110,0.753170,0.749000,0.752110,0.752110,0
2021-12-02,0.753050,0.753440,0.750040,0.753012,0.753012,0
2021-12-03,0.751840,0.756920,0.751420,0.751880,0.751880,0
2021-12-06,0.755690,0.756210,0.752700,0.755440,0.755440,0
2021-12-07,0.753910,0.756970,0.752460,0.753900,0.753900,0
2021-12-08,0.754800,0.759030,0.754000,0.754940,0.754940,0
2021-12-09,0.757000,0.758940,0.756600,0.757000,0.757000,0
2021-12-10,0.756150,0.758100,0.753520,0.756200,0.756200,0
2021-12-13,0.754260,0.756290,0.753650,0.754310,0.754310,0
2021-12-14,0.756810,0.758100,0.754400,0.756800,0.756800,0
2021-12-15,0.755780,0.757110,0.752850,0.755829,0.755829,0
2021-12-16,0.753920,0.755110,0.747760,0.753970,0.753970,0
2021-12-17,0.750510,0.754280,0.749600,0.750540,0.750540,0
2021-12-20,0.755860,0.759070,0.755090,0.755890,0.755890,0
2021-12-21,0.757010,0.757590,0.754080,0.757002,0.757002,0
2021-12-22,0.753580,0.755210,0.748370,0.753600,0.753600,0
2021-12-23,0.748950,0.749340,0.744200,0.748950,0.748950,0
2021-12-24,0.745760,0.746600,0.744840,0.745900,0.745900,0
2021-12-27,0.745979,0.746700,0.744009,0.746029,0.746029,0
2021-12-28,0.743800,0.745250,0.742800,0.743900,0.743900,0
2021-12-29,0.744380,0.745760,0.740780,0.744420,0.744420,0
2021-12-30,0.740870,0.743200,0.739560,0.740807,0.740807,0
2021-12-31,0.740800,0.742530,0.738090,0.740830,0.740830,0
2022-01-03,0.739520,0.744450,0.739000,0.739520,0.739520,0
2022-01-04,0.741686,0.742900,0.737640,0.741660,0.741660,0
2022-01-05,0.739070,0.739500,0.736740,0.739020,0.739020,0
2022-01-06,0.737710,0.741230,0.737600,0.737700,0.737700,0
2022-01-07,0.738880,0.739130,0.736190,0.738900,0.738900,0
2022-01-10,0.735790,0.738870,0.735190,0.735710,0.735710,0
